,date,max_temp,min_temp
0,2026-01-30,11.7,4.6
1,2026-01-31,9.5,5.3
2,2026-02-01,9.7,6.0
3,2026-02-02,10.1,3.1
4,2026-02-03,11.1,6.9
5,2026-02-04,12.7,4.1
6,2026-02-05,12.1,8.2
7,2026-02-06,11.9,8.6
